openalex_author_id,author_name,openalex_institution_id,institution_name,country_code,ror_id,weighted_signal,precision_signal,relevant_work_count,precision_work_count,query_cluster_count,top_works
https://openalex.org/A5027206285,Martin Monperrus,https://openalex.org/I86987016,KTH Royal Institute of Technology,SE,https://ror.org/026vcq606,7.622,5.432,7,5,3,2022: Neural program repair with execution-based backpropagation [https://doi.org/10.1145/3510003.3510222] || 2022: SelfAPR: Self-supervised Program Repair with Test Execution Diagnostics [https://doi.org/10.1145/3551349.3556926] || 2022: Neural Transfer Learning for Repairing Security Vulnerabilities in C Code [https://doi.org/10.1109/tse.2022.3147265] || 2024: ITER: Iterative Neural Repair for Multi-Location Patches [https://doi.org/10.1145/3597503.3623337] || 2024: Understanding Code Understandability Improvements in Code Reviews [https://doi.org/10.1109/tse.2024.3453783]
https://openalex.org/A5032356672,Claire Le Goues,https://openalex.org/I74973139,Carnegie Mellon University,US,https://ror.org/05x2bcf33,5.556,4.942,4,3,3,"2024: Large Language Models for Test-Free Fault Localization [https://doi.org/10.1145/3597503.3623342] || 2024: Large Language Models for Test-Free Fault Localization [https://doi.org/10.1145/3597503.3623342] || 2025: When Fine-Tuning LLMs Meets Data Privacy: An Empirical Study of Federated Learning in LLM-Based Program Repair [https://doi.org/10.1145/3733599] || 2024: Automated Program Repair, What Is It Good For? Not Absolutely Nothing! [https://doi.org/10.1145/3597503.3639095] || 2025: AdverIntent-Agent: Adversarial Reasoning for Repair Based on Inferred Program Intent [https://doi.org/10.1145/3728939]"
https://openalex.org/A5043546718,Lingming Zhang,https://openalex.org/I157725225,University of Illinois Urbana-Champaign,US,https://ror.org/047426m28,4.766,4.766,4,4,5,2023: Copiloting the Copilots: Fusing Large Language Models with Completion Engines for Automated Program Repair [https://doi.org/10.1145/3611643.3616271] || 2025: Demystifying LLM-Based Software Engineering Agents [https://doi.org/10.1145/3715754] || 2025: Demystifying LLM-Based Software Engineering Agents [https://doi.org/10.1145/3715754] || 2026: Large Language Model-Based Agents for Software Engineering: A Survey [https://doi.org/10.1145/3796507] || 2025: UniDebugger: Hierarchical Multi-Agent Framework for Unified Software Debugging [https://doi.org/10.18653/v1/2025.emnlp-main.921]
https://openalex.org/A5075857263,Chunqiu Steven Xia,https://openalex.org/I157725225,University of Illinois Urbana-Champaign,US,https://ror.org/047426m28,5.017,3.709,3,2,4,2023: Copiloting the Copilots: Fusing Large Language Models with Completion Engines for Automated Program Repair [https://doi.org/10.1145/3611643.3616271] || 2023: Large Language Models Are Zero-Shot Fuzzers: Fuzzing Deep-Learning Libraries via Large Language Models [https://doi.org/10.1145/3597926.3598067] || 2025: Demystifying LLM-Based Software Engineering Agents [https://doi.org/10.1145/3715754] || 2025: Demystifying LLM-Based Software Engineering Agents [https://doi.org/10.1145/3715754]
https://openalex.org/A5082835974,Tegawendé F. Bissyandé,https://openalex.org/I186903577,University of Luxembourg,LU,https://ror.org/036x5ad56,4.556,3.524,5,4,2,2025: When Fine-Tuning LLMs Meets Data Privacy: An Empirical Study of Federated Learning in LLM-Based Program Repair [https://doi.org/10.1145/3733599] || 2024: LLM for Mobile: An Initial Roadmap [https://doi.org/10.1145/3708528] || 2024: CREF: An LLM-Based Conversational Software Repair Framework for Programming Tutors [https://doi.org/10.1145/3650212.3680328] || 2023: Reliable Fix Patterns Inferred from Static Checkers for Automated Program Repair [https://doi.org/10.1145/3579637] || 2022: Crex: Predicting patch correctness in automated repair of C programs through transfer learning of execution semantics [https://doi.org/10.1016/j.infsof.2022.107043]
https://openalex.org/A5051068084,Daniel Russo,https://openalex.org/I891191580,Aalborg University,DK,https://ror.org/04m5j1k67,3.237,3.237,2,2,2,2024: Navigating the Complexity of Generative AI Adoption in Software Engineering [https://doi.org/10.1145/3652154] || 2024: Navigating the Complexity of Generative AI Adoption in Software Engineering [https://doi.org/10.1145/3652154] || 2025: Investigating the Role of Cultural Values in Adopting Large Language Models for Software Engineering [https://doi.org/10.1145/3725529]
https://openalex.org/A5078734626,Saima Rafi,https://openalex.org/I80180929,Universidad de Murcia,ES,https://ror.org/03p3aeb86,3.77,2.974,4,3,2,2022: Toward Successful DevOps: A Decision-Making Framework [https://doi.org/10.1109/access.2022.3174094] || 2023: Optimization of DevOps Transformation for Cloud-Based Applications [https://doi.org/10.3390/electronics12020357] || 2023: Trustworthy artificial intelligence: A decision‐making taxonomy of potential challenges [https://doi.org/10.1002/spe.3216] || 2022: Decision-Making Taxonomy of DevOps Success Factors Using Preference Ranking Organization Method of Enrichment Evaluation [https://doi.org/10.1155/2022/2600160]
https://openalex.org/A5009679905,Vincent J. Hellendoorn,https://openalex.org/I74973139,Carnegie Mellon University,US,https://ror.org/05x2bcf33,5.268,2.936,3,1,3,"2024: Large Language Models for Test-Free Fault Localization [https://doi.org/10.1145/3597503.3623342] || 2022: A systematic evaluation of large language models of code [https://doi.org/10.1145/3520312.3534862] || 2024: Large Language Models for Test-Free Fault Localization [https://doi.org/10.1145/3597503.3623342] || 2022: Test smells 20 years later: detectability, validity, and reliability [https://doi.org/10.1007/s10664-022-10207-5]"
https://openalex.org/A5039259335,Aidan Z. H. Yang,https://openalex.org/I74973139,Carnegie Mellon University,US,https://ror.org/05x2bcf33,3.551,2.936,2,1,2,2024: Large Language Models for Test-Free Fault Localization [https://doi.org/10.1145/3597503.3623342] || 2024: Large Language Models for Test-Free Fault Localization [https://doi.org/10.1145/3597503.3623342] || 2025: AdverIntent-Agent: Adversarial Reasoning for Repair Based on Inferred Program Intent [https://doi.org/10.1145/3728939]
https://openalex.org/A5101995804,Ruben Martins,https://openalex.org/I74973139,Carnegie Mellon University,US,https://ror.org/05x2bcf33,2.936,2.936,1,1,2,2024: Large Language Models for Test-Free Fault Localization [https://doi.org/10.1145/3597503.3623342] || 2024: Large Language Models for Test-Free Fault Localization [https://doi.org/10.1145/3597503.3623342]
https://openalex.org/A5018976680,Isabelle Augenstein,https://openalex.org/I124055696,University of Copenhagen,DK,https://ror.org/035b05819,2.926,2.926,1,1,2,2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z] || 2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z]
https://openalex.org/A5061810530,Meeyoung Cha,https://openalex.org/I4210096592,Max Planck Institute for Security and Privacy,DE,https://ror.org/00bj0r217,2.926,2.926,1,1,2,2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z] || 2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z]
https://openalex.org/A5056583184,Giovanni Luca Ciampaglia,https://openalex.org/I66946132,"University of Maryland, College Park",US,https://ror.org/047s2c258,2.926,2.926,1,1,2,2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z] || 2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z]
https://openalex.org/A5059911956,David Corney,https://openalex.org/I4210119138,Full Fact,GB,https://ror.org/02mag1e82,2.926,2.926,1,1,2,2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z] || 2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z]
https://openalex.org/A5067816317,Renée DiResta,https://openalex.org/I97018004,Stanford University,US,https://ror.org/00f54p054,2.926,2.926,1,1,2,2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z] || 2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z]
https://openalex.org/A5078699564,Emilio Ferrara,https://openalex.org/I1174212,University of Southern California,US,https://ror.org/03taz7m60,2.926,2.926,1,1,2,2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z] || 2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z]
https://openalex.org/A5029882049,Scott A. Hale,https://openalex.org/I40120149,University of Oxford,GB,https://ror.org/052gg0110,2.926,2.926,1,1,2,2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z] || 2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z]
https://openalex.org/A5067621853,Alon Halevy,https://openalex.org/I3197470489,Alpha Omega Alpha Medical Honor Society,US,https://ror.org/057q9nn35,2.926,2.926,1,1,2,2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z] || 2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z]
https://openalex.org/A5067621853,Alon Halevy,https://openalex.org/I4210099336,Menlo School,US,https://ror.org/01240pn49,2.926,2.926,1,1,2,2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z] || 2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z]
https://openalex.org/A5060225743,Eduard Hovy,https://openalex.org/I74973139,Carnegie Mellon University,US,https://ror.org/05x2bcf33,2.926,2.926,1,1,2,2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z] || 2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z]
https://openalex.org/A5113307622,Heng Ji,https://openalex.org/I157725225,University of Illinois Urbana-Champaign,US,https://ror.org/047426m28,2.926,2.926,1,1,2,2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z] || 2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z]
https://openalex.org/A5021346979,Filippo Menczer,https://openalex.org/I4210119109,Indiana University Bloomington,US,https://ror.org/02k40bc56,2.926,2.926,1,1,2,2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z] || 2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z]
https://openalex.org/A5064753440,Dietram A. Scheufele,https://openalex.org/I135310074,University of Wisconsin–Madison,US,https://ror.org/01y2jtd41,2.926,2.926,1,1,2,2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z] || 2024: Factuality challenges in the era of large language models and opportunities for fact-checking [https://doi.org/10.1038/s42256-024-00881-z]
https://openalex.org/A5117202716,Hitesh Allam,https://openalex.org/I97750245,Software (Spain),ES,https://ror.org/02ethns06,2.874,2.73,3,2,3,2025: Code Meets Intelligence: AI-Augmented CI/CD Systems for DevOps at Scale [https://doi.org/10.63282/3050-9262.ijaidsml-v6i1p115] || 2024: Intelligent Automation: Leveraging LLMs in DevOps Toolchains [https://doi.org/10.63282/3050-9416.ijaibdcms-v5i4p109] || 2024: Intelligent Automation: Leveraging LLMs in DevOps Toolchains [https://doi.org/10.63282/3050-9416.ijaibdcms-v5i4p109] || 2024: Intelligent Automation: Leveraging LLMs in DevOps Toolchains [https://doi.org/10.63282/3050-9416.ijaibdcms-v5i4p109] || 2024: Zero-Touch Reliability: The Next Generation of Self-Healing Systems [https://doi.org/10.63282/3050-9262.ijaidsml-v5i4p107]
https://openalex.org/A5022899674,Emily Winter,https://openalex.org/I67415387,Lancaster University,GB,https://ror.org/04f2nsd36,2.577,2.577,3,3,1,"2022: How do Developers Really Feel About Bug Fixing? Directions for Automatic Program Repair [https://doi.org/10.1109/tse.2022.3194188] || 2022: Let’s Talk With Developers, Not About Developers: A Review of Automatic Program Repair Research [https://doi.org/10.1109/tse.2022.3152089] || 2022: Towards developer-centered automatic program repair: findings from Bloomberg [https://doi.org/10.1145/3540250.3558953]"
https://openalex.org/A5003102661,Vesna Nowack,https://openalex.org/I67415387,Lancaster University,GB,https://ror.org/04f2nsd36,2.577,2.577,3,3,1,"2022: How do Developers Really Feel About Bug Fixing? Directions for Automatic Program Repair [https://doi.org/10.1109/tse.2022.3194188] || 2022: Let’s Talk With Developers, Not About Developers: A Review of Automatic Program Repair Research [https://doi.org/10.1109/tse.2022.3152089] || 2022: Towards developer-centered automatic program repair: findings from Bloomberg [https://doi.org/10.1145/3540250.3558953]"
https://openalex.org/A5058470128,David Bowes,https://openalex.org/I67415387,Lancaster University,GB,https://ror.org/04f2nsd36,2.577,2.577,3,3,1,"2022: How do Developers Really Feel About Bug Fixing? Directions for Automatic Program Repair [https://doi.org/10.1109/tse.2022.3194188] || 2022: Let’s Talk With Developers, Not About Developers: A Review of Automatic Program Repair Research [https://doi.org/10.1109/tse.2022.3152089] || 2022: Towards developer-centered automatic program repair: findings from Bloomberg [https://doi.org/10.1145/3540250.3558953]"
https://openalex.org/A5083706258,Steve Counsell,https://openalex.org/I59433898,Brunel University of London,GB,https://ror.org/00dn4t376,2.577,2.577,3,3,1,"2022: How do Developers Really Feel About Bug Fixing? Directions for Automatic Program Repair [https://doi.org/10.1109/tse.2022.3194188] || 2022: Let’s Talk With Developers, Not About Developers: A Review of Automatic Program Repair Research [https://doi.org/10.1109/tse.2022.3152089] || 2022: Towards developer-centered automatic program repair: findings from Bloomberg [https://doi.org/10.1145/3540250.3558953]"
https://openalex.org/A5019248666,Tracy Hall,https://openalex.org/I67415387,Lancaster University,GB,https://ror.org/04f2nsd36,2.577,2.577,3,3,1,"2022: How do Developers Really Feel About Bug Fixing? Directions for Automatic Program Repair [https://doi.org/10.1109/tse.2022.3194188] || 2022: Let’s Talk With Developers, Not About Developers: A Review of Automatic Program Repair Research [https://doi.org/10.1109/tse.2022.3152089] || 2022: Towards developer-centered automatic program repair: findings from Bloomberg [https://doi.org/10.1145/3540250.3558953]"
https://openalex.org/A5024480268,Sæmundur Ó. Haraldsson,https://openalex.org/I12093191,University of Stirling,GB,https://ror.org/045wgfr59,2.577,2.577,3,3,1,"2022: How do Developers Really Feel About Bug Fixing? Directions for Automatic Program Repair [https://doi.org/10.1109/tse.2022.3194188] || 2022: Let’s Talk With Developers, Not About Developers: A Review of Automatic Program Repair Research [https://doi.org/10.1109/tse.2022.3152089] || 2022: Towards developer-centered automatic program repair: findings from Bloomberg [https://doi.org/10.1145/3540250.3558953]"
https://openalex.org/A5069851877,John R. Woodward,https://openalex.org/I166337079,Queen Mary University of London,GB,https://ror.org/026zzn846,2.577,2.577,3,3,1,"2022: How do Developers Really Feel About Bug Fixing? Directions for Automatic Program Repair [https://doi.org/10.1109/tse.2022.3194188] || 2022: Let’s Talk With Developers, Not About Developers: A Review of Automatic Program Repair Research [https://doi.org/10.1109/tse.2022.3152089] || 2022: Towards developer-centered automatic program repair: findings from Bloomberg [https://doi.org/10.1145/3540250.3558953]"
https://openalex.org/A5015133105,Greg Durrett,https://openalex.org/I86519309,The University of Texas at Austin,US,https://ror.org/00hj54h04,3.916,2.525,4,2,1,2024: MiniCheck: Efficient Fact-Checking of LLMs on Grounding Documents [https://doi.org/10.18653/v1/2024.emnlp-main.499] || 2024: Complex Claim Verification with Evidence Retrieved in the Wild [https://doi.org/10.18653/v1/2024.naacl-long.196] || 2023: WiCE: Real-World Entailment for Claims in Wikipedia [https://doi.org/10.18653/v1/2023.emnlp-main.470] || 2024: Molecular Facts: Desiderata for Decontextualization in LLM Fact Verification [https://doi.org/10.18653/v1/2024.findings-emnlp.215]
