query,rank,work_id,doi,title,publication_year,publication_date,cited_by_count,type
LLM code repair testing debugging maintenance,1,https://openalex.org/W4394769323,https://doi.org/10.1145/3597503.3639180,Make LLM a Testing Expert: Bringing Human-like Interaction to Mobile GUI Testing via Functionality-aware Decisions,2024,2024-04-12,103,conference-paper
LLM code repair testing debugging maintenance,2,https://openalex.org/W4321649710,https://doi.org/10.48550/arxiv.2302.11382,A Prompt Pattern Catalog to Enhance Prompt Engineering with ChatGPT,2023,2023-02-21,806,preprint
LLM code repair testing debugging maintenance,3,https://openalex.org/W4391579639,https://doi.org/10.1145/3597503.3623342,Large Language Models for Test-Free Fault Localization,2024,2024-02-06,121,conference-paper
LLM code repair testing debugging maintenance,4,https://openalex.org/W4394745858,https://doi.org/10.1145/3597503.3639219,Evaluating Large Language Models in Class-Level Code Generation,2024,2024-04-12,147,conference-paper
LLM code repair testing debugging maintenance,5,https://openalex.org/W4414913062,https://doi.org/10.1145/3770084,A Survey on LLM-based Code Generation for Low-Resource and Domain-Specific Programming Languages,2025,2025-10-07,51,article
LLM code repair testing debugging maintenance,6,https://openalex.org/W4393730225,https://doi.org/10.48550/arxiv.2404.00971,Beyond Functional Correctness: Exploring Hallucinations in LLM-Generated Code,2024,2024-04-01,40,preprint
LLM code repair testing debugging maintenance,7,https://openalex.org/W4414437166,https://doi.org/10.1145/3769082,LLMs in Software Security: A Survey of Vulnerability Detection Techniques and Insights,2025,2025-09-23,51,article
LLM code repair testing debugging maintenance,8,https://openalex.org/W4408167800,https://doi.org/10.3390/s25061666,"Generative AI and LLMs for Critical Infrastructure Protection: Evaluation Benchmarks, Agentic AI, Challenges, and Opportunities",2025,2025-03-07,60,article
LLM code repair testing debugging maintenance,9,https://openalex.org/W4393284390,https://doi.org/10.48550/arxiv.2403.17134,"RepairAgent: An Autonomous, LLM-Based Agent for Program Repair",2024,2024-03-25,14,preprint
LLM code repair testing debugging maintenance,10,https://openalex.org/W4399357038,https://doi.org/10.48550/arxiv.2406.00515,A Survey on Large Language Models for Code Generation,2024,2024-06-01,61,preprint
LLM code repair testing debugging maintenance,11,https://openalex.org/W4401719610,https://doi.org/10.1109/icsa-c63560.2024.00059,State of Practice: LLMs in Software Engineering and Software Architecture,2024,2024-06-04,34,conference-paper
LLM code repair testing debugging maintenance,12,https://openalex.org/W4402442868,https://doi.org/10.1145/3650212.3680384,AutoCodeRover: Autonomous Program Improvement,2024,2024-09-11,141,conference-paper
LLM code repair testing debugging maintenance,13,https://openalex.org/W4384647967,https://doi.org/10.48550/arxiv.2307.08260,Extending the Frontier of ChatGPT: Code Generation and Debugging,2023,2023-07-17,9,preprint
LLM code repair testing debugging maintenance,14,https://openalex.org/W4409311382,https://doi.org/10.1145/3720419,UTFix: Change Aware Unit Test Repairing using LLM,2025,2025-04-09,7,article
LLM code repair testing debugging maintenance,15,https://openalex.org/W4411522870,https://doi.org/10.1145/3728958,DecLLM: LLM-Augmented Recompilable Decompilation for Enabling Programmatic Use of Decompiled Code,2025,2025-06-22,15,article
LLM code repair testing debugging maintenance,16,https://openalex.org/W4410008025,https://doi.org/10.1145/3733599,When Fine-Tuning LLMs Meets Data Privacy: An Empirical Study of Federated Learning in LLM-Based Program Repair,2025,2025-05-01,9,article
LLM code repair testing debugging maintenance,17,https://openalex.org/W4377866432,https://doi.org/10.1145/3818607,Exploring Code Analysis: Zero-Shot Insights on Syntax and Semantics with LLMs,2026,2026-05-26,18,article
LLM code repair testing debugging maintenance,18,https://openalex.org/W4413329030,https://doi.org/10.1038/s41598-025-15416-8,”My AI is Lying to Me”: User-reported LLM hallucinations in AI mobile apps reviews,2025,2025-08-19,42,article
LLM code repair testing debugging maintenance,19,https://openalex.org/W4366327299,https://doi.org/10.48550/arxiv.2304.08191,"A study on Prompt Design, Advantages and Limitations of ChatGPT for Deep Learning Program Repair",2023,2023-04-17,33,preprint
LLM code repair testing debugging maintenance,20,https://openalex.org/W4320854935,https://doi.org/10.48550/arxiv.2302.06527,An Empirical Evaluation of Using Large Language Models for Automated Unit Test Generation,2023,2023-02-13,53,preprint
LLM code repair testing debugging maintenance,21,https://openalex.org/W4402671827,https://doi.org/10.18653/v1/2024.acl-long.301,CodeScope: An Execution-based Multilingual Multitask Multidimensional Benchmark for Evaluating LLMs on Code Understanding and Generation,2024,2024-01-01,17,conference-paper
LLM code repair testing debugging maintenance,22,https://openalex.org/W4367000100,https://doi.org/10.48550/arxiv.2304.11938,Is ChatGPT the Ultimate Programming Assistant -- How far is it?,2023,2023-04-24,109,preprint
LLM code repair testing debugging maintenance,23,https://openalex.org/W4409348253,https://doi.org/10.1609/aaai.v39i23.34672,Can LLMs Obfuscate Code? A Systematic Analysis of Large Language Models into Assembly Code Obfuscation,2025,2025-04-11,13,conference-paper
