program_id,institution_name,recorded_distinct_professors,independent_distinct_professors,difference,status
us:ipeds:179867:program:phd:computer-science-phd,Washington University in St Louis,1,1,0,pass
us:ipeds:213543:program:phd:phd-in-computer-science,Lehigh University,1,1,0,pass
us:ipeds:104179:program:phd:computer-science-phd,University of Arizona,1,1,0,pass
us:ipeds:126614:program:phd:computer-science-phd,University of Colorado Boulder,1,1,0,pass
us:ipeds:166629:program:phd:computer-science-phd,University of Massachusetts-Amherst,1,1,0,pass
us:ipeds:174066:program:phd:computer-science-phd,University of Minnesota-Twin Cities,1,1,0,pass
us:ipeds:233921:program:phd:computer-science-phd,Virginia Polytechnic Institute and State University,1,1,0,pass
us:ipeds:211440:program:phd:software-engineering-phd,Carnegie Mellon University,1,1,0,pass
us:ipeds:198419:program:phd:computer-science-phd,Duke University,1,1,0,pass
us:ipeds:185828:program:phd:ph-d-computer-science,New Jersey Institute of Technology,1,1,0,pass
us:ipeds:167358:program:phd:computer-science-phd,Northeastern University,1,1,0,pass
us:ipeds:162928:program:phd:phd-in-computer-science,Johns Hopkins University,1,1,0,pass
us:ipeds:147767:program:phd:phd-in-computer-science,Northwestern University,1,1,0,pass
us:ipeds:145600:program:phd:phd-in-computer-science,University of Illinois Chicago,1,1,0,pass
us:ipeds:170976:program:phd:computer-science-and-engineering-phd,University of Michigan-Ann Arbor,1,1,0,pass
us:ipeds:230764:program:phd:computing-phd,University of Utah,1,1,0,pass
us:ipeds:217156:program:phd:computer-science-phd,Brown University,1,1,0,pass
us:ipeds:232982:program:phd:computer-science-ph-d,Old Dominion University,1,1,0,pass
ca:dli:O19395164223:program:thesis-or-research-master-s:msc-in-applied-modelling-and-quantitative-methods-thesis-stream,Trent University,1,1,0,pass
ca:dli:O19332746152:program:thesis-or-research-master-s:master-of-applied-science-in-electrical-and-computer-engineering,University of Toronto,1,1,0,pass
ca:dli:O19305471522:program:thesis-or-research-master-s:master-of-applied-science-in-electrical-and-computer-engineering,University of Waterloo,1,1,0,pass
ca:dli:O19361109242:program:thesis-or-research-master-s:computer-science-msc-thesis-option,York University,1,1,0,pass
us:ipeds:153603:program:phd:computer-science-phd,Iowa State University,1,1,0,pass
us:ipeds:227757:program:phd:ph-d-in-computer-science,Rice University,1,1,0,pass
us:ipeds:152080:program:phd:computer-science-and-engineering-phd,University of Notre Dame,1,1,0,pass
us:ipeds:223232:program:phd:ph-d-in-computer-science,Baylor University,1,1,0,pass
us:ipeds:164988:program:phd:computer-science-phd,Boston University,1,1,0,pass
us:ipeds:201645:program:phd:computer-science-phd,Case Western Reserve University,1,1,0,pass
us:ipeds:126818:program:phd:computer-science-phd,Colorado State University-Fort Collins,1,1,0,pass
ca:dli:O19359011007:program:thesis-or-research-master-s:software-engineering-masc,Concordia University,1,1,0,pass
us:ipeds:199193:program:phd:computer-science-phd,North Carolina State University at Raleigh,1,1,0,pass
us:ipeds:204796:program:phd:computer-science-and-engineering-phd,Ohio State University-Main Campus,1,1,0,pass
us:ipeds:214777:program:phd:computer-science-and-engineering-phd,Pennsylvania State University-Main Campus,1,1,0,pass
us:ipeds:243780:program:phd:computer-science-phd,Purdue University-Main Campus,1,1,0,pass
us:ipeds:221759:program:phd:computer-science-phd,The University of Tennessee-Knoxville,1,1,0,pass
us:ipeds:228778:program:phd:computer-science-phd,The University of Texas at Austin,1,1,0,pass
us:ipeds:196060:program:phd:doctor-of-philosophy-in-computer-science,University at Albany,1,1,0,pass
us:ipeds:132903:program:phd:computer-science-phd,University of Central Florida,1,1,0,pass
us:ipeds:225511:program:phd:phd-in-computer-science,University of Houston,1,1,0,pass
us:ipeds:163268:program:phd:phd-in-computer-science,University of Maryland-Baltimore County,1,1,0,pass
us:ipeds:163286:program:phd:computer-science-phd,University of Maryland-College Park,1,1,0,pass
us:ipeds:187985:program:phd:phd-in-computer-science,University of New Mexico-Main Campus,1,1,0,pass
us:ipeds:195030:program:phd:phd-program-in-computer-science,University of Rochester,1,1,0,pass
us:ipeds:231624:program:phd:computer-science-phd,William & Mary,1,1,0,pass
us:ipeds:131520:program:phd:computer-science-ph-d,Howard University,1,1,0,pass
ca:dli:O19359011033:program:thesis-or-research-master-s:electrical-engineering-thesis-m-sc,McGill University,1,1,0,pass
us:ipeds:209807:program:phd:doctoral-degree-in-computer-science-ph-d,Portland State University,1,1,0,pass
us:ipeds:194824:program:phd:ph-d-in-computer-science,Rensselaer Polytechnic Institute,1,1,0,pass
us:ipeds:228246:program:phd:ph-d-in-computer-science,Southern Methodist University,1,1,0,pass
us:ipeds:228723:program:phd:doctor-of-philosophy-in-computer-science,Texas A&M University-College Station,1,1,0,pass
us:ipeds:110644:program:phd:computer-science-phd,University of California-Davis,1,1,0,pass
us:ipeds:157085:program:phd:doctoral-degree-in-computer-science,University of Kentucky,1,1,0,pass
ca:dli:O19280533442:program:thesis-or-research-master-s:master-of-applied-science-in-electrical-and-computer-engineering,University of Victoria,1,1,0,pass
us:ipeds:221999:program:phd:computer-science-phd,Vanderbilt University,1,1,0,pass
us:ipeds:165015:program:phd:computer-science-phd,Brandeis University,1,1,0,pass
ca:dli:O19359011007:program:thesis-or-research-master-s:cybersecurity-engineering-masc,Concordia University,1,1,0,pass
us:ipeds:212054:program:phd:phd-in-computer-science,Drexel University,1,1,0,pass
us:ipeds:139658:program:phd:phd-in-computer-science-and-informatics,Emory University,1,1,0,pass
us:ipeds:131469:program:phd:phd-in-computer-science,George Washington University,1,1,0,pass
